Component,Supplier,Part_No,Value,Type,Size,Item,Part,Part_Source,,Schematic_Part,Value,Device,Package,Description,AVAILABILITY,BOM,BUILT_BY,COPYRIGHT,DATASHEET,DESCRIPTION,DIGI-KEY_PART_NUMBER,MANUFACTURER_PART_NUMBER,MF,MP,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,PRICE,PURCHASE-URL,SOURCELIBRARY,SUPPLIER,VENDOR
RTC,Mouser,855-S8411-45R ,,SMD,,CR1120 SMD Coin Cell holder,B1,Schematic,,B1,cr1220,BATTERYCR1220_2,CR1220-2,CR1220 SMT - Digikey: 3001K-ND,,,,,,,,,,,,,,,,,,,
Relay_Assy,Mouser,512-1N4148,1N4148,,,,,Schematic,,D1,1N4148,DIODESOD-323,SOD-323,Diode,,,,,,,,,,,,,,,,,,,
Relay_Assy,Mouser,SML-H12U8TT86C ,,,,,,,,D2,RED,LED0805_NOOUTLINE,CHIPLED_0805_NOOUTLINE,LED,,,,,,,,,,,,,,,,,,,
RTC,Mouser,700-DS3231S#,DS3231,SMD,,,DS3231,Schematic,,IC2,DS3231/SO,DS3231/SO,SO16W,,Unavailable,,,,," Real Time Clock (RTC) IC Clock/Calendar IÂ²C, 2-Wire Serial 16-SOIC (0.295, 7.50mm Width) ",,,Maxim Integrated,DS3231,,,,SOIC-16 Maxim Integrated,None,,,,
Feather_Mount,Mouser/Adafruit,485-2830 ,,,,12pin/16pin Stacking Headers for Feather,JP2/JP8,Schematic,,JP2,,HEADER-1X16ROUND,1X16_ROUND,PIN HEADER,,,,,,,,,,,,,,,,,,,
,Mouser/Adafruit,485-392,,,,10 Pack of Male Headers,,,,JP3-7,,PINHD-1X12-CB,1X12-CB,PIN HEADER,,,,,,,,,,,,,,,,,,,
Feather_Mount,Mouser/Adafruit,485-2830 ,,,,12pin/16pin Stacking Headers for Feather,JP2/JP8,Schematic,,JP8,,PINHD-1X12-CB,1X12-CB,PIN HEADER,,,,,,,,,,,,,,,,,,,
Relay_assy,Mouser,863-NSVMMBT2222AM3T5,,,,,,,,Q1,MMBT2222,TRANSISTOR_NPN,SOT23-R,NPN Transistor,,,,,,,,,,,,,,,,,,,
SCL_Pullup,Mouser,,10k,,,,R1,Schematic,,R1,10K,RESISTOR_0603_NOOUT,0603-NO,Resistors,,,,,,,,,,,,,,,,,,,
SDA_Pullup,Mouser,,10k,,,,R2,Schematic,,R2,10K,RESISTOR_0603_NOOUT,0603-NO,Resistors,,,,,,,,,,,,,,,,,,,
SD_CS_Pullup,Mouser,,100k,,,,R3,Schematic,,R3,100K,RESISTOR_0603_NOOUT,0603-NO,Resistors,,,,,,,,,,,,,,,,,,,
RTC,Mouser,71-CRCW080510K0JNEAC,10k,SMD,,,R4,Schematic,,R4,10k,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,,,,,,,,,,,
Relay_assy,Mouser,71-CRCW08051K00JNEAC,,,,,,,,R5,1K,RESISTOR0805_NOOUTLINE,0805-NO,Resistors,,,,,,,,,,,,,,,,,,,
Relay_assy,Mouser,71-CRCW080510K0JNEAC,,,,,,,,R6,10K,RESISTOR0805_NOOUTLINE,0805-NO,Resistors,,,,,,,,,,,,,,,,,,,
Relay_assy,Mouser,71-CRCW080510K0JNEAC,,,,,,,,R7,10K,RESISTOR0805_NOOUTLINE,0805-NO,Resistors,,,,,,,,,,,,,,,,,,,
Feather_Mount,Mouser,612-TL6330AF200Q ,,,,SWITCH_TACT_SMT4.6X2.8 (SWITCH_TACT_SMT),,,,SW1,KMR2,SWITCH_TACT_SMT4.6X2.8,BTN_KMR2_4.6X2.8,SMT Tact Switches,,,,,,,,,,,,,,,,,,,
Relay_assy,Digikey,399-11000-1-ND - Cut Tape (CT),,,,,,,,X1,RELAY_NONLATCHING-EE2NUH,RELAY_NONLATCHING-EE2NUH,RELAY_EE2_NOLATCH,,,,,,,,,,,,,,,,,,,,
Power_Supply,Mouser,651-1071011 ,,,,,,,,X3,,TERMBLOCK_1X3,TERMBLOCK_1X3-3.5MM,3.5mm Terminal block,,,,,,,,,,,,,,,,,,,
SD_Card,Mouser,538-47352-1001 ,,,,,,,,X4,microsd,MICROSD,MICROSD,MicroSD/Transflash Card Holder with SPI pinout,,,,,,,,,,,,,,,,,,,
SD_CS_Pullup,,652-CMP0805AFX-1003L ,,,,,R3,,,,100K,RESISTOR0805_NOOUTLINE,,,,,,,,,,,,,,,,,,,,,
SCL_Pullup,,71-CRCW080510K0JNEAC,,,,,R1,,,,10K,RESISTOR0805_NOOUTLINE,,,,,,,,,,,,,,,,,,,,,
SDA_Pullup,,71-CRCW080510K0JNEAC,,,,,R2,,,,10K,RESISTOR0805_NOOUTLINE,,,,,,,,,,,,,,,,,,,,,
